session,ts_ms,gross_bps
20260818-190823,1787080132473,-3.739631986215452
20260818-190823,1787080132575,-3.739631986215452
20260818-190823,1787080132496,-3.739631986215452
20260818-190823,1787080132677,-3.739631986215452
20260818-190823,1787080132779,-3.739631986215452
20260818-190823,1787080132881,-3.739631986215452
20260818-190823,1787080132983,-3.739631986215452
20260818-190823,1787080132916,-3.739631986215452
20260818-190823,1787080132982,-3.739631986215452
20260818-190823,1787080133085,-3.739631986215452
20260818-190823,1787080133187,-3.739631986215452
20260818-190823,1787080133055,-3.739631986215452
20260818-190823,1787080133289,-3.739631986215452
20260818-190823,1787080133184,-3.739631986215452
20260818-190823,1787080133391,-3.739631986215452
20260818-190823,1787080133493,-3.739631986215452
20260818-190823,1787080133595,-3.739631986215452
20260818-190823,1787080133697,-4.156863654098595
20260818-190823,1787080133598,-3.739631986215452
20260818-190823,1787080133799,-4.156863654098595
20260818-190823,1787080133901,-4.156863654098595
20260818-190823,1787080134003,-4.156863654098595
20260818-190823,1787080134105,-4.156863654098595
20260818-190823,1787080134207,-4.156863654098595
20260818-190823,1787080134309,-4.156863654098595
20260818-190823,1787080134217,-4.156863654098595
20260818-190823,1787080134411,-4.156863654098595
20260818-190823,1787080134513,-4.156863654098595
20260818-190823,1787080134615,-4.156863654098595
20260818-190823,1787080134717,-4.156863654098595
20260818-190823,1787080134819,-4.156863654098595
20260818-190823,1787080134921,-4.156863654098595
20260818-190823,1787080134828,-4.156863654098595
20260818-190823,1787080135023,-4.156863654098595
20260818-190823,1787080135125,-4.156863654098595
20260818-190823,1787080135004,-4.156863654098595
20260818-190823,1787080135227,-4.156863654098595
20260818-190823,1787080135154,-4.156863654098595
20260818-190823,1787080135329,-4.156863654098595
20260818-190823,1787080135431,-4.156863654098595
20260818-190823,1787080135533,-4.156863654098595
20260818-190823,1787080135635,-4.156863654098595
20260818-190823,1787080135536,-4.156863654098595
20260818-190823,1787080135737,-4.156863654098595
20260818-190823,1787080135839,-4.156863654098595
20260818-190823,1787080135941,-4.156863654098595
20260818-190823,1787080136043,-4.156863654098595
20260818-190823,1787080136145,-4.156863654098595
20260818-190823,1787080136247,-4.156863654098595
20260818-190823,1787080136107,-4.156863654098595
20260818-190823,1787080136349,-4.156863654098595
20260818-190823,1787080136451,-4.156863654098595
20260818-190823,1787080136553,-4.156863654098595
20260818-190823,1787080136655,-4.156863654098595
20260818-190823,1787080136511,-4.156863654098595
20260818-190823,1787080136757,-4.156863654098595
20260818-190823,1787080136859,-4.156863654098595
20260818-190823,1787080136762,-4.156863654098595
20260818-190823,1787080136961,-4.156863654098595
20260818-190823,1787080137063,-4.156863654098595
20260818-190823,1787080137165,-4.156863654098595
20260818-190823,1787080137267,-4.156863654098595
20260818-190823,1787080137369,-4.156863654098595
20260818-190823,1787080137471,-4.156863654098595
20260818-190823,1787080137573,-4.156863654098595
20260818-190823,1787080137422,-4.156863654098595
20260818-190823,1787080137675,-4.156863654098595
20260818-190823,1787080137777,-4.156863654098595
20260818-190823,1787080137879,-4.156863654098595
20260818-190823,1787080137981,-4.156863654098595
20260818-190823,1787080138083,-4.156863654098595
