session,ts_ms,action,score,gross_bps,exec_ret_bps,net_taker_bps,net_maker_bps,mid0,mid_target,spread_bps,qi_l1,max_favorable_bps,max_adverse_bps,time_to_peak_ms,time_to_adverse_ms
20260818-190823,1787080132473,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.605066,0.0,0.0,0,0
20260818-190823,1787080132575,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.607225,0.0,0.0,0,0
20260818-190823,1787080132496,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.607225,0.0,0.0,0,0
20260818-190823,1787080132677,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.596775,0.0,0.0,0,0
20260818-190823,1787080132779,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.596798,0.0,0.0,0,0
20260818-190823,1787080132881,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.596798,0.0,0.0,0,0
20260818-190823,1787080132983,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.596775,0.0,0.0,0,0
20260818-190823,1787080132916,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.596775,0.0,0.0,0,0
20260818-190823,1787080132982,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.596775,0.0,0.0,0,0
20260818-190823,1787080133085,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.573212,0.0,0.0,0,0
20260818-190823,1787080133187,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.573077,0.0,0.0,0,0
20260818-190823,1787080133055,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.573077,0.0,0.0,0,0
20260818-190823,1787080133289,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.662291,0.0,0.0,0,0
