session,ts_ms,action,gross_bps,net_bps,mid,spread_bps,pred_raw,calibrated,exec_ready
20260818-190746,1787080081996,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6567258087589753,-0.5717989357779674,False
20260818-190746,1787080082187,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6564696910741403,-0.5717989357779674,False
20260818-190746,1787080082160,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6634150888549728,-0.5717989357779674,False
20260818-190746,1787080082289,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6662887290283872,-0.5717989357779674,False
20260818-190746,1787080082391,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.664512403103316,-0.5717989357779674,False
20260818-190746,1787080082265,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6683409728187886,-0.5717989357779674,False
20260818-190746,1787080082493,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6690917800414256,-0.5717989357779674,False
20260818-190746,1787080082595,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6681120148721291,-0.5717989357779674,False
20260818-190746,1787080082534,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6718638821477747,-0.5717989357779674,False
20260818-190746,1787080082697,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.672242399009437,-0.5717989357779674,False
20260818-190746,1787080082634,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6752732398311272,-0.5717989357779674,False
20260818-190746,1787080082799,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.67421093136941,-0.5717989357779674,False
20260818-190746,1787080082734,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6797030989721393,-0.5717989357779674,False
20260818-190746,1787080082901,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6777011175947341,-0.5717989357779674,False
20260818-190746,1787080083003,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6811013445357057,-0.5717989357779674,False
20260818-190746,1787080083105,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6805128511754734,-0.5717989357779674,False
20260818-190746,1787080083207,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6753274999570589,-0.5717989357779674,False
20260818-190746,1787080083309,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.678941082667599,-0.5717989357779674,False
20260818-190746,1787080083411,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6808253025582278,-0.5717989357779674,False
20260818-190746,1787080083513,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6829572829872304,-0.5717989357779674,False
20260818-190746,1787080083615,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6766423582843948,-0.5717989357779674,False
20260818-190746,1787080083717,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6716399322520694,-0.5717989357779674,False
20260818-190746,1787080083819,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.677554643128687,-0.5717989357779674,False
20260818-190746,1787080083921,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.677614461837021,-0.5717989357779674,False
20260818-190746,1787080083869,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6789331156925211,-0.5717989357779674,False
20260818-190746,1787080084023,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6788925559831205,-0.5717989357779674,False
20260818-190746,1787080084125,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6809129374978682,-0.5717989357779674,False
