session,ts_ms,action,gross_bps
20260818-190823,1787080177047,SELL,-0.0
20260818-190823,1787080177149,SELL,-0.0
20260818-190823,1787080177251,SELL,-0.0
20260818-190823,1787080177353,SELL,-0.0
20260818-190823,1787080177455,SELL,-0.0
20260818-190823,1787080177557,SELL,-0.0
20260818-190823,1787080177659,SELL,-0.0
20260818-190823,1787080177761,SELL,-0.0
20260818-190823,1787080177863,SELL,-0.0
20260818-190823,1787080177965,SELL,-0.0
20260818-190823,1787080178067,SELL,-0.0
20260818-190823,1787080178169,SELL,-0.0
20260818-190823,1787080178271,SELL,-0.0
20260818-190823,1787080178373,SELL,-0.0
20260818-190823,1787080178475,SELL,-0.0
20260818-190823,1787080178577,SELL,-0.0
20260818-190823,1787080178679,SELL,-0.0
20260818-190823,1787080178781,SELL,-0.0
20260818-190823,1787080178873,SELL,-0.0
20260818-190823,1787080178883,SELL,-0.0
20260818-190823,1787080178985,SELL,-0.0
20260818-190823,1787080178876,SELL,-0.0
20260818-190823,1787080179087,SELL,-0.0
20260818-190823,1787080179189,SELL,-0.0
20260818-190823,1787080179291,SELL,-0.0
20260818-190823,1787080179393,SELL,-0.0
20260818-190823,1787080179495,SELL,-0.0
20260818-190823,1787080179597,SELL,-0.0
20260818-190823,1787080179699,SELL,-0.0
20260818-190823,1787080179801,SELL,-0.0
20260818-190823,1787080179903,SELL,-0.0
20260818-190823,1787080180005,SELL,-0.0
20260818-190823,1787080180107,SELL,-0.0
20260818-190823,1787080180209,SELL,-0.0
20260818-190823,1787080180311,SELL,-0.0
20260818-190823,1787080180227,SELL,-0.0
20260818-190823,1787080180413,SELL,-0.0
20260818-190823,1787080180515,SELL,-0.0
20260818-190823,1787080180617,SELL,-0.0
20260818-190823,1787080180719,SELL,-0.0
20260818-190823,1787080180573,SELL,-0.0
20260818-190823,1787080180821,SELL,-0.0
20260818-190823,1787080180923,SELL,-0.0
20260818-190823,1787080180803,SELL,-0.0
20260818-190823,1787080181025,SELL,-0.0
20260818-190823,1787080181127,SELL,-0.0
20260818-190823,1787080181229,SELL,-0.0
20260818-190823,1787080181331,SELL,-0.0
20260818-190823,1787080181433,SELL,-0.0
20260818-190823,1787080181535,SELL,-0.0
20260818-190823,1787080181477,SELL,-0.0
20260818-190823,1787080181637,SELL,-0.0
20260818-190823,1787080181739,SELL,-0.0
20260818-190823,1787080181841,SELL,-0.0
20260818-190823,1787080181943,SELL,-0.0
20260818-190823,1787080182045,SELL,-0.0
20260818-190823,1787080182147,SELL,-0.0
20260818-190823,1787080182249,SELL,-0.0
20260818-190823,1787080182351,SELL,-0.0
20260818-190823,1787080182453,SELL,-0.0
20260818-190823,1787080182555,SELL,-0.0
20260818-190823,1787080182657,SELL,-0.0
20260818-190823,1787080182759,SELL,-0.0
20260818-190823,1787080182861,SELL,-0.0
20260818-190823,1787080182963,SELL,-0.0
20260818-190823,1787080183065,SELL,-0.0
20260818-190823,1787080183167,SELL,-0.0
20260818-190823,1787080183269,SELL,-0.0
20260818-190823,1787080183211,SELL,-0.0
20260818-190823,1787080183371,SELL,-0.0
20260818-190823,1787080183473,SELL,-0.0
20260818-190823,1787080183575,SELL,-0.0
20260818-190823,1787080183677,SELL,-0.0
20260818-190823,1787080183779,SELL,-0.0
20260818-190823,1787080183881,SELL,-0.0
20260818-190823,1787080183983,SELL,-0.0
20260818-190823,1787080184085,SELL,-0.0
20260818-190823,1787080184187,SELL,-0.0
20260818-190823,1787080184289,SELL,-0.0
20260818-190823,1787080184391,SELL,-0.0
20260818-190823,1787080184493,SELL,-0.0
20260818-190823,1787080184595,SELL,-0.0
20260818-190823,1787080184697,SELL,-0.0
20260818-190823,1787080184799,SELL,-0.0
