session,ts_ms,action,gross_bps,net_bps,cost_bps,fill_prob,filled,qi_l1,spread_bps
20260818-214859,1787089750873,SELL,-0.0,0.0,2.0,0.4205967135596799,True,-0.996822,0.015488
20260818-214859,1787089750785,SELL,-0.0,-2.0,2.0,0.4205967135596799,True,-0.996822,0.015488
20260818-214859,1787089750975,SELL,-0.0,-2.0,2.0,0.42058681297888006,True,-0.996877,0.015488
20260818-214859,1787089751077,SELL,-0.0,0.0,2.0,0.4205385701488,True,-0.997145,0.015488
20260818-214859,1787089751179,SELL,-0.0,-2.0,2.0,0.42056773185951996,True,-0.996983,0.015488
20260818-214859,1787089751281,SELL,-0.0,0.0,2.0,0.42061795480576,True,-0.996704,0.015488
20260818-214859,1787089751383,SELL,-0.0,-2.0,2.0,0.42065989726624,True,-0.996471,0.015488
20260818-214859,1787089751485,SELL,-0.0,0.0,2.0,0.42055225095136,True,-0.997069,0.015488
20260818-214859,1787089751467,SELL,-0.0,0.0,2.0,0.42055225095136,True,-0.997069,0.015488
20260818-214859,1787089751484,SELL,-0.0,-2.0,2.0,0.42055225095136,True,-0.997069,0.015488
20260818-214859,1787089751587,SELL,-0.0,-2.0,2.0,0.42055189093024004,True,-0.997071,0.015488
20260818-214859,1787089751560,SELL,-0.0,0.0,2.0,0.42055189093024004,True,-0.997071,0.015488
20260818-214859,1787089751689,SELL,-0.0,-2.0,2.0,0.42052542937792,True,-0.997218,0.015488
20260818-214859,1787089751791,SELL,-0.0,0.0,2.0,0.42057115206015994,True,-0.996964,0.015488
20260818-214859,1787089751667,SELL,-0.0,0.0,2.0,0.42057115206015994,True,-0.996964,0.015488
20260818-214859,1787089751893,SELL,-0.0,-2.0,2.0,0.42052722948352,True,-0.997208,0.015488
20260818-214859,1787089751995,SELL,-0.0,0.0,2.0,0.42058825306335995,True,-0.996869,0.015488
20260818-214859,1787089752097,SELL,-0.0,-2.0,2.0,0.42789434166207996,True,-0.956282,0.015488
20260818-214859,1787089752199,SELL,-0.0,-2.0,2.0,0.42112216438432004,True,-0.993903,0.015488
20260818-214859,1787089752301,SELL,-0.0,0.0,2.0,0.42110056311711996,True,-0.994023,0.015488
20260818-214859,1787089752403,SELL,0.4026815493623722,0.0,2.0,0.42110056311711996,True,-0.994023,0.015488
20260818-214859,1787089752505,SELL,0.4026815493623722,0.0,2.0,0.42110038310655995,True,-0.994024,0.015488
20260818-214859,1787089752607,SELL,0.4026815493623722,0.0,2.0,0.42110038310655995,True,-0.994024,0.015488
20260818-214859,1787089752709,SELL,0.4026815493623722,-1.5973184506376277,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752798,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,-1.5973184506376277,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,-1.5973184506376277,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
20260818-214859,1787089752799,SELL,0.4026815493623722,0.0,2.0,0.42108220203999996,True,-0.994125,0.015488
